municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
戸田市(A001),第04弾,2017/4/3,【平日】戸田市役所 新曽南庁舎 4階【土日祝】さくらパル,【平日】埼玉県戸田市新曽南3-1-5【土日祝】埼玉県戸田市新曽南3-1-5新曽南庁舎2階,【平日】電話：048-229-4673【土日祝】電話：048-229-1061,【平日】8:30〜17:15【土日祝】9:00〜19:00（さくらパルの休館日等は除く）ただし、12月29日～1月3日はお休みです,139.66977 : 35.80719,139.66977 : 35.80719,,,
戸田市(B001),第23弾,2024/7/26,戸田市観光情報館トビック,埼玉県戸田市本町４丁目１５番１１号戸田公園駅前行政センター２階,電話:048-420-9794,【平日】10：00～20:00【土日祝日】9:00～17:30ただし、12月29日～1月3日はお休みですまた、施設の事情で休館する場合があります,139.67767 : 35.8079,,,,
入間市(A001),第18弾,2023/1/28,【平日】入間市役所上下水道部上下水道経営課【休日】埼玉県入間市役所守衛室,埼玉県入間市豊岡1-16-1,電話：04-2964-1111,9：00～17：00,139.38956 : 35.83583,,,,
入間市(B001),第19弾,2023/4/28,入間市博物館ALIT（アリット）,埼玉県入間市二本木10,0電話:04-2934-7711（問合せ先）入間市役所上下水道部上下水道経営課電話:04-2964-1111,9：00～17：00ただし、月曜日（その日が祝日または振替休日の場合はその翌日）、祝日の翌日（その日が土・日曜日または、祝日である場合は除く）、年末年始（12月27日～1月5日）、館内整理日（毎月第4火曜日。ただし、祝日である場合は除く）はお休みです,139.35799 : 35.79721,,,,
志木市,第18弾,2023/1/28,志木市民会館,埼玉県志木市本町1-11-50,電話：048-474-3030(問合せ先)志木市水道庁舎電話：048-473-1299,8:30～22:00,139.57787 : 35.83081,,,,
桶川市(A001),第12弾,2020/4/25,桶川市観光協会,埼玉県桶川市寿1-11-19,電話:048-778-3567(問合せ先)桶川市下水道課電話:048-786-3211,9:00～16:00ただし、年末年始(12/29〜1/3)はお休みです,139.56381 : 36.00191,,,,
桶川市(B001),第18弾,2023/1/28,中山道宿場館,埼玉県桶川市寿1-11-19,電話：048-778-3567(問合せ先)桶川市下水道課電話：048-786-3211,9:00～16:00ただし、年末年始はお休みです,139.56381 : 36.00191,,,,
久喜市(A001),第13弾,2020/12/17,【平日】久喜市鷲宮行政センター下水道施設課【休日】久喜市鷲宮行政センター警備員室,埼玉県久喜市鷲宮6丁目１-１,電話：0480-58-1111,8：30～17：15,139.66737 : 36.10058,,,,
久喜市(B001),第16弾,2022/1/15,【平日】久喜市栗橋行政センター 1階 総務・人権係【土日祝】久喜市栗橋行政センター 警備員室（正面玄関を入って右側）,埼玉県久喜市間鎌251番地1,電話：0480-53-1111,8：30～17：15,139.69658 : 36.1262,,,,
北本市,第9弾,2018/12/14,北本市観光協会　観光情報発信館,埼玉県北本市西高尾1-249,電話048-591-1473,9：00～17：00　ただし土曜日・GW・年末年始は休み【日曜・祝日】9：00～16：00※施設の事情で休館する場合があります,139.52969 : 36.03002,,,,
富士見市,第12弾,2020/4/25,【平日】富士見市役所下水道課【土日祝日】富士見市民文化会館　キラリ☆ふじみ,【平日】埼玉県富士見市大字鶴馬1800番地の1【土日祝日】埼玉県富士見市大字鶴馬1803番地の1,【平日】電話：049-251-2711（内線431）【土日祝日】電話：049-268-7788,【平日】8：30～17：15【土日祝日】9：00～21：00ただし、年末年始はお休みです,139.54915 : 35.85664,139.55034 : 35.85751,,,
三郷市,第9弾,2018/12/14,ららほっとみさと,埼玉県三郷市新三郷ららシティ3丁目1-1 ららぽーと新三郷館内（南モール1F）,電話： 048-959-7045(問い合わせ先)三郷市下水道課電話： 048-930-7825,配布場所の営業時間内に配布します。【平日】10：00～20：00【土日祝】10：00～21：00※最新の営業時間は配布場所HPをご確認ください。,139.86432 : 35.8613,,,,
蓮田市,第22弾,2024/4/26,【木曜日、祝日以外】蓮田駅西口行政センター【木曜日、祝日】中央公民館,【木曜日、祝日以外】埼玉県蓮田市本町6番1号プレックス蓮田2階【木曜日、祝日】埼玉県蓮田市東6丁目1番8号,【木曜日、祝日以外】電話:048-764-5111【木曜日、祝日】電話:048-769-2002（問合せ先）蓮田市上下水道部下水道課電話:048-768-1111,【木曜日、祝日以外】8.30～17：15ただし、年末年始はお休みです【木曜日、祝日】9:00～17:00※蓮田駅西口行政センターの休所日のみこちらで配布しますただし、年末年始はお休みです,139.65283 : 35.98275,139.65225 : 35.97935,,,
坂戸市,第8弾,2018/8/11,石井水処理センター,埼玉県坂戸市大字石井1336-1,電話：049-283-1101,9：00～17：00,139.41476 : 35.97242,,,,
日高市(A001),第8弾,2018/8/11,【平日】日高市浄化センター【休日】日高市役所,【平日】埼玉県日高市大字高萩1385番地1【休日】埼玉県日高市大字南平沢1020番地,【平日】電話：042-989-2771【休日】電話：042-989-2111,8：30～17：15,139.38853 : 35.90338,139.33904 : 35.90754,,,
日高市(B001),第14弾,2021/4/25,高麗公民館,埼玉県日高市大字栗坪92番地２,電話:042-989-2381（年末年始１２月２９日～１月３日を除く）(問合せ先)日高市浄化センター電話:042-989-2771（土日祝日を除く),8：30～17：00ただし、年末年始（12月29日～1月3日）はお休みです,139.31569 : 35.88663,,,,
吉川市,第05弾,2017/8/1,ラッピーランド,埼玉県吉川市木売1-7-17,電話：048-983-7020,10:00～17:00ただし、年末年始(12/29～1/3)はお休みです,139.843976 : 35.876762,,,,
ふじみ野市,第6弾,2017/12/9,【平日】ふじみ野市役所 上下水道課【土日祝】ふじみ野ステラ・ウェスト,【平日】埼玉県ふじみ野市福岡1-1-1（第二庁舎）【土日祝】埼玉県ふじみ野市大井中央2-1-8,【平日】電話：049-220-2075【土日祝】049-261-0648,【平日】9：00～17：00ただし、月曜日が祝日の場合、年末年始（12/28～1/3）はお休みです【土日祝】9：00〜17：00,139.51956 : 35.87875,139.50764 : 35.8589,,,
白岡市,第07弾,2018/4/28,【月曜以外】しらおか味彩センター【月曜日のみ】白岡市役所 商工観光課窓口,【月曜以外】埼玉県白岡市千駄野398【月曜日のみ】埼玉県白岡市千駄野432,【月曜以外】電話：0480-93-9800【月曜日のみ】電話：0480-92-1111（問い合わせ先）白岡市役所上下水道部上下水道課電話：0480-92-1645,【月曜以外】9：30～15：30　※月曜が祝日の場合は配布可【月曜のみ】8：30～17：15ただし、年末年始はお休みです※しらおか味彩センターは不定休があるため、ご確認ください,139.67743 : 36.01783,139.67651 : 36.01874,,,
伊奈町,第10弾,2019/8/7,【通常】伊奈町総合センター【休館日】伊奈町上下水道庁舎,【通常】埼玉県北足立郡伊奈町中央五丁目179番地【休館日】埼玉県北足立郡伊奈町大字小室5048,【通常】電話：048-722-9111【休館日】電話：048-721-5555,【通常】9:00～17:00（12:00～13:00を除く）ただし、月曜は休館日です※臨時休館日の場合がありますので、来館の際は事前にご確認ください【休館日】9:00～17:00（12:00～13:00を除く）ただし、年末年始及び土日祝日はお休みです,139.61986 : 35.99894,139.61739 : 35.99552,,,
滑川町,第24弾,2024/12/20,【平日】滑川町役場上下水道課【土日祝日】滑川町役場警備員室,埼玉県比企郡滑川町大字福田750番地1,【平日】電話:0493-56-2231【土日祝日】電話:0493-56-2211,9:00～16:00ただし、年末年始(12月28日～1月5日)はお休みです,139.36009 : 36.06587,,,,
小川町,第22弾,2024/4/26,小川町観光案内所「むすびめ」,埼玉県比企郡小川町大字大塚1176-5,電話:0493-74-1515,13:30～16:00ただし、年末年始（12月29日〜1月3日）はお休みです,139.26041 : 36.05864,,,,
川島町,第11弾,2019/12/14,【平日】一般社団法人さまちか事務所【土日・祝日】川島町役場本庁舎　日直,【平日】埼玉県比企郡川島町大字下八ツ林923コミュニティセンター２階【土日・祝日】埼玉県比企郡川島町大字下八ツ林870-1,【平日】電話：049-298-3377【土日・祝日】電話：049-297-1811,9:00～17：00ただし、年末年始（12/29〜1/3）はお休みです,139.48456 : 35.99149,139.48456 : 35.99149,,,
吉見町,第3弾,2016/12/1,吉見百穴,埼玉県比企郡吉見町大字北吉見324,電話：0493-54-4541,8：30～17：00（年中無休）,139.42213 : 36.03945,,,,
寄居町,第7弾,2018/4/28,寄居駅南口駅前拠点施設Yotteco,埼玉県大里郡寄居町大字寄居１２３１番地１１,（問い合わせ先）寄居町役場 上下水道課電話：048-581-2121（内線268）,9：00～1７：00ただし、年末年始、臨時休館日はお休みです。,139.19437 : 36.11658,,,,
宮代町,第12弾,2020/4/25,【月曜日以外(月曜日が祝日の場合は配布）】新しい村【月曜日（祝日を除く）】宮代町上下水道事務所,【月曜日以外(月曜日が祝日の場合は配布）】埼玉県南埼玉郡宮代町字山崎777-1【月曜日（祝日を除く）】埼玉県南埼玉郡宮代町字宮東51,【月曜日以外(月曜日が祝日の場合は配布）】電話:0480-36-3441【月曜日（祝日を除く）】電話:0480-33-5554(問合せ先)宮代町上下水道事務所0480-33-5554,【新しい村】9：30～17：00ただし、月曜日はお休みです月曜日が祝日の場合は配布します【上下水道事務所】8：30～17：15月曜日（新しい村の休業日）に配布しますただし、年末年始はお休みです,139.71996 : 36.01767,139.73909 : 36.01271,,,
流域下水道,第21弾,2023/12/15,千葉県立現代産業科学館,千葉県市川市鬼高1-1-3047-379-2000,（問合せ先）千葉県県土整備部下水道課（土日祝日は応対不可）電話:043-223-4335,9:00～16:30ただし、月曜日（祝日または振替休日の場合は開館し、その翌日休館）、年末年始、臨時休館日（必ず事前にホームページを参照ください）,139.93266 : 35.71503,,,,
千葉市(A001),第6弾,2017/12/9,千葉市観光情報センター,千葉県千葉市中央区新千葉1-1-1,電話：043-224-3939,【平日】10：00～18：00【休日】10：00～17：00ただし、年末年始（12/28～1/3）はお休みです,140.11414 : 35.61295,,,,
千葉市(B001),第14弾,2021/4/25,千葉市幕張観光情報センター,千葉県千葉市美浜区ひび野2-110ＪＲ海浜幕張駅構内,(問合せ先）千葉市建設局下水道企画部下水道営業課電話：043-245-5411,【平日】10：00～18：00【休日】10：00～17：00ただし、年末年始12月28日～1月3日）はお休みです,140.04126 : 35.64552,,,,
銚子市,第7弾,2018/4/28,銚子観光案内所,千葉県銚子市西芝町1438（JR銚子駅構内）,電話：0479-22-1544（問い合わせ先）銚子市水道局下水道室電話：0479-22-8825,9：00～17：00（年中無休）,140.82793 : 35.72955,,,,
市川市(A001),第04弾,2017/4/3,【平日】市川市役所　下水道経営課【土日祝】いちかわ観光物産インフォメーション,【平日】千葉県市川市南八幡２−２０−２【土日祝】千葉県市川市八幡２－４－８,【平日】電話：047-712-6482【土日祝】お問い合わせは上記の下水道経営課までお願いします,【市川市役所】9:00～17:00ただし、土日、祝日、年末年始はお休みです【いちかわ観光物産インフォメーション】10:00～16:00(休所日)毎月第1月曜日（祝日にあたるときは直後の平日）年末年始詳細はHPをご確認ください,139.92729 : 35.71372,,,,
市川市(B001),第18弾,2023/1/28,市川市観賞植物園,千葉県市川市大町213番11外,(問合せ先)市川市下水道経営課電話：047-712-6482,9:30～16:30※毎週月曜日（祝日と重なった場合は翌日）、年末年始はお休みです,139.97166 : 35.76908,,,,
市川市(C001),第20弾,2023/7/28,市川市行徳図書館２階,千葉県市川市末広1丁目1番31号,（問合せ先）市川市下水道経営課電話:047-712-6482,10：00～16：30ただし、毎週月曜日（祝日と重なった場合は翌開館日）、年末年始、館内整理日等はお休みです※詳細は図書館のHPをご確認ください。,139.9175 : 35.68631,,,,
市川市(D001),第23弾,2024/7/26,市川市中央図書館,千葉県市川市鬼高１丁目１番４号　生涯学習センター内,（問合せ先）市川市下水道経営課電話:047-712-6482,10：00～19：30（休館日を除く）※土日祝は18：00までとなりますただし、毎週月曜日（祝日の場合、翌開館日に振替）、館内整理日（土曜・日曜・月曜を除く月末）、蔵書点検期間、年末年始（12月28日から1月4日）はお休みです※詳細は開館カレンダーを確認ください,139.93266 : 35.71503,,,,
船橋市,第2弾,2016/8/1,【平日】船橋市建設局 下水道部下水道河川計画課（本庁舎5階）【休日】船橋市役所　警備員室（本庁舎地下1階）,千葉県船橋市湊町2-10-25,電話：047-436-2662（下水道河川計画課）,8：45～17：15,139.98221 : 35.69424,,,,
